ASN,ASN_NAME,SOURCE,ASOF_DATE
2514,AS-INFOSPHERE,PeeringDB,2021-12-31
2515,AS-JPNIC,PeeringDB,2021-12-31
2516,RADB::AS-KDD RADB::AS-KDDI6,PeeringDB,2021-12-31
2510,AS-INFOWEB,PeeringDB,2021-12-31
270730,AS270730,PeeringDB,2021-12-31
52964,AS52964,PeeringDB,2021-12-31
46844,AS-46844,PeeringDB,2021-12-31
49895,AS-DCENTER,PeeringDB,2021-12-31
49322,AS49322,PeeringDB,2021-12-31
49321,RIPE::AS-ITGRATION,PeeringDB,2021-12-31
46849,AS-AS46849,PeeringDB,2021-12-31
200760,AS-MAGGIOLIGROUP,PeeringDB,2021-12-31
5056,AS-AUREON-TRANSIT,PeeringDB,2021-12-31
5050,AS5050:AS-ALL,PeeringDB,2021-12-31
204444,RIPE::AS-LTNT,PeeringDB,2021-12-31
134090,AS-XINTEGRATION,PeeringDB,2021-12-31
204446,AS-HELLOMOUSE,PeeringDB,2021-12-31
45796,AS-BBCONNECT,PeeringDB,2021-12-31
134094,AS-SET-SERVERFIELD,PeeringDB,2021-12-31
209162,AS209162:AS-TO-AIX,PeeringDB,2021-12-31
204443,AS-PATFAB,PeeringDB,2021-12-31
138064,AS138064:AS-JINOM-ID,PeeringDB,2021-12-31
134098,AS138997:AS-LICSON,PeeringDB,2021-12-31
38565,APNIC::AS-NCELL,PeeringDB,2021-12-31
209169,RIPE::AS-CROIT,PeeringDB,2021-12-31
38566,AS-38566,PeeringDB,2021-12-31
25956,RADB::AS-LOGIXFIBER,PeeringDB,2021-12-31
36827,AS36827:AS-ALL,PeeringDB,2021-12-31
36824,RADB::AS-ADTAQ,PeeringDB,2021-12-31
199490,AS-INTERCONNECT-CZ,PeeringDB,2021-12-31
53758,AS53758:AS-ALL,PeeringDB,2021-12-31
36828,AS-XTOM,PeeringDB,2021-12-31
36829,AS-WINSTRI,PeeringDB,2021-12-31
199494,AS-ETTH,PeeringDB,2021-12-31
199496,RIPE::AS-199496,PeeringDB,2021-12-31
14866,AS-VOINETWORKS,PeeringDB,2021-12-31
204930,AS204930,PeeringDB,2021-12-31
54994,RADB::AS54994:AS-ALL,PeeringDB,2021-12-31
