ASN,ASN_NAME,SOURCE,ASOF_DATE
38622,LLNW-AU,ASRank,2022-09-14
11096,FLORIDANET,ASRank,2022-09-14
14877,PENNREN,ASRank,2022-09-14
45796,UIH-BBCONNECT-AS-AP,ASRank,2022-09-14
56630,MELBICOM-EU-AS,ASRank,2022-09-14
9268,OVERTHEWIRE-AS-AP,ASRank,2022-09-14
10490,SOUTHERN-CROSSROADS-SOX,ASRank,2022-09-14
35104,KTC-AS,ASRank,2022-09-14
3249,ESTPAK,ASRank,2022-09-14
3302,AS-IRIDEOS,ASRank,2022-09-14
4621,UNINET-AS-AP,ASRank,2022-09-14
210222,reacom,ASRank,2022-09-14
33490,COMCAST-33490,ASRank,2022-09-14
9931,CAT-AP,ASRank,2022-09-14
600,OARNET-AS,ASRank,2022-09-14
9848,SejongTelecom-AS-KR,ASRank,2022-09-14
12406,BN-AS,ASRank,2022-09-14
12189,AS12189,ASRank,2022-09-14
64098,IPTRANSIT-AS-AP,ASRank,2022-09-14
34772,NEOTEL-AS-MK,ASRank,2022-09-14
132116,ANINETWORK-IN,ASRank,2022-09-14
15802,DU-AS1,ASRank,2022-09-14
4181,TDS-AS,ASRank,2022-09-14
26677,ORION-ASN,ASRank,2022-09-14
9145,EWETEL,ASRank,2022-09-14
6181,FUSE-NET,ASRank,2022-09-14
21497,UMC-AS,ASRank,2022-09-14
6731,COMSTAR-AS,ASRank,2022-09-14
15994,A1HR,ASRank,2022-09-14
4812,CHINANET-SH-AP,ASRank,2022-09-14
45489,SLT-GLOBAL,ASRank,2022-09-14
3630,NYSERNET-BLK,ASRank,2022-09-14
