FROM_NODE,TO_NODE,SOURCE,ASOF_DATE
ACT172,ACT119,Internet Atlas,2013-08-16
ACT172,ACT160,Internet Atlas,2013-08-16
ACT174,ACT173,Internet Atlas,2013-08-16
ACT175,ACT173,Internet Atlas,2013-08-16
ACT175,ACT176,Internet Atlas,2013-08-16
ACT176,ACT218,Internet Atlas,2013-08-16
ACT177,ACT176,Internet Atlas,2013-08-16
ACT177,ACT178,Internet Atlas,2013-08-16
ACT179,ACT178,Internet Atlas,2013-08-16
ACT179,ACT183,Internet Atlas,2013-08-16
ACT180,ACT181,Internet Atlas,2013-08-16
ACT180,ACT182,Internet Atlas,2013-08-16
ACT180,ACT191,Internet Atlas,2013-08-16
ACT183,ACT182,Internet Atlas,2013-08-16
ACT184,ACT183,Internet Atlas,2013-08-16
ACT185,ACT183,Internet Atlas,2013-08-16
ACT186,ACT188,Internet Atlas,2013-08-16
ACT189,ACT183,Internet Atlas,2013-08-16
ACT189,ACT188,Internet Atlas,2013-08-16
ACT189,ACT190,Internet Atlas,2013-08-16
ACT19,ACT18,Internet Atlas,2013-08-16
ACT19,ACT20,Internet Atlas,2013-08-16
ACT191,ACT182,Internet Atlas,2013-08-16
ACT191,ACT192,Internet Atlas,2013-08-16
ACT191,ACT193,Internet Atlas,2013-08-16
ACT191,ACT710,Internet Atlas,2013-08-16
ACT195,ACT193,Internet Atlas,2013-08-16
ACT195,ACT194,Internet Atlas,2013-08-16
ACT196,ACT194,Internet Atlas,2013-08-16
ACT196,ACT197,Internet Atlas,2013-08-16
ACT196,ACT416,Internet Atlas,2013-08-16
ACT198,ACT187,Internet Atlas,2013-08-16
ACT198,ACT197,Internet Atlas,2013-08-16
ACT198,ACT420,Internet Atlas,2013-08-16
ACT198,ACT713,Internet Atlas,2013-08-16
ACT199,ACT187,Internet Atlas,2013-08-16
ACT199,ACT190,Internet Atlas,2013-08-16
ACT199,ACT202,Internet Atlas,2013-08-16
ACT199,ACT209,Internet Atlas,2013-08-16
ACT199,ACT716,Internet Atlas,2013-08-16
ACT2,ACT1,Internet Atlas,2013-08-16
ACT2,ACT3,Internet Atlas,2013-08-16
ACT20,ACT15,Internet Atlas,2013-08-16
ACT201,ACT202,Internet Atlas,2013-08-16
ACT201,ACT205,Internet Atlas,2013-08-16
ACT203,ACT202,Internet Atlas,2013-08-16
ACT203,ACT204,Internet Atlas,2013-08-16
ACT205,ACT204,Internet Atlas,2013-08-16
ACT205,ACT715,Internet Atlas,2013-08-16
ACT206,ACT207,Internet Atlas,2013-08-16
ACT206,ACT715,Internet Atlas,2013-08-16
ACT208,ACT207,Internet Atlas,2013-08-16
ACT208,ACT716,Internet Atlas,2013-08-16
ACT209,ACT211,Internet Atlas,2013-08-16
ACT21,ACT13,Internet Atlas,2013-08-16
ACT21,ACT696,Internet Atlas,2013-08-16
ACT210,ACT209,Internet Atlas,2013-08-16
ACT210,ACT214,Internet Atlas,2013-08-16
ACT211,ACT213,Internet Atlas,2013-08-16
ACT212,ACT131,Internet Atlas,2013-08-16
ACT212,ACT206,Internet Atlas,2013-08-16
ACT212,ACT714,Internet Atlas,2013-08-16
ACT213,ACT714,Internet Atlas,2013-08-16
ACT214,ACT216,Internet Atlas,2013-08-16
ACT215,ACT130,Internet Atlas,2013-08-16
ACT215,ACT214,Internet Atlas,2013-08-16
ACT216,ACT130,Internet Atlas,2013-08-16
ACT217,ACT214,Internet Atlas,2013-08-16
ACT217,ACT218,Internet Atlas,2013-08-16
ACT219,ACT220,Internet Atlas,2013-08-16
ACT219,ACT221,Internet Atlas,2013-08-16
ACT22,ACT23,Internet Atlas,2013-08-16
ACT222,ACT221,Internet Atlas,2013-08-16
ACT222,ACT223,Internet Atlas,2013-08-16
ACT224,ACT223,Internet Atlas,2013-08-16
ACT224,ACT691,Internet Atlas,2013-08-16
ACT226,ACT176,Internet Atlas,2013-08-16
ACT226,ACT691,Internet Atlas,2013-08-16
ACT227,ACT228,Internet Atlas,2013-08-16
ACT227,ACT229,Internet Atlas,2013-08-16
ACT228,ACT231,Internet Atlas,2013-08-16
