ASN,LATITUDE,LONGITUDE,SOURCE,VALIDATED,STANDARD_LATITUDE,STANDARD_LONGITUDE,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,PHYSICAL_PRESENCE,ASOF_DATE
15451,49.4521,11.0767,RIPEAtlas,,49.4499906607,11.0799849026,Nürnberg,Bayern,DE,False,2022-09-15
197540,49.4521,11.0767,RIPEAtlas,,49.4499906607,11.0799849026,Nürnberg,Bayern,DE,False,2022-09-15
33988,49.4287,11.0227,RIPEAtlas,,49.4700152782,10.9999897854,Fürth,Bayern,DE,False,2022-09-15
60574,49.452,11.0768,RIPEAtlas,,49.4499906607,11.0799849026,Nürnberg,Bayern,DE,False,2022-09-15
25220,50.1093,8.7423,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
60316,51.1862,7.227,RIPEAtlas,,51.2500099885,7.1699910061,Wuppertal,Nordrhein-Westfalen,DE,False,2022-09-15
197540,49.452,11.077,RIPEAtlas,,49.4499906607,11.0799849026,Nürnberg,Bayern,DE,False,2022-09-15
24940,49.4492,11.014,RIPEAtlas,,49.4700152782,10.9999897854,Fürth,Bayern,DE,False,2022-09-15
24940,49.4494,11.0141,RIPEAtlas,,49.4700152782,10.9999897854,Fürth,Bayern,DE,False,2022-09-15
42184,52.3107,7.4402,RIPEAtlas,,51.9704052929,7.62004105493,Münster,Nordrhein-Westfalen,DE,False,2022-09-15
680,49.255,7.041,RIPEAtlas,,49.250390441,6.97000321313,Saarbrücken,Saarland,DE,False,2022-09-15
12374,48.7076,9.1686,RIPEAtlas,,48.7799798778,9.19999629582,Stuttgart,Baden-Württemberg,DE,False,2022-09-15
48918,48.7214,9.1285,RIPEAtlas,,48.7799798778,9.19999629582,Stuttgart,Baden-Württemberg,DE,False,2022-09-15
553,48.7454,9.1036,RIPEAtlas,,48.7799798778,9.19999629582,Stuttgart,Baden-Württemberg,DE,False,2022-09-15
553,48.7457,9.107,RIPEAtlas,,48.7799798778,9.19999629582,Stuttgart,Baden-Württemberg,DE,False,2022-09-15
21413,51.3912,12.4814,RIPEAtlas,,51.3354052929,12.4099812405,Leipzig,Sachsen,DE,False,2022-09-15
12931,47.7561,10.3167,RIPEAtlas,,47.5166970658,9.76670158807,Bregenz,Vorarlberg,AT,False,2022-09-15
35061,52.9299,9.2654,RIPEAtlas,,53.080001647,8.80002070988,Bremen,Bremen,DE,False,2022-09-15
9136,52.4282,10.7921,RIPEAtlas,,52.2499747916,10.500020303,Braunschweig,Niedersachsen,DE,False,2022-09-15
9158,57.0229,9.8972,RIPEAtlas,,57.0337138053,9.91659338241,Aalborg,Nordjylland,DK,False,2022-09-15
3292,56.1075,10.1405,RIPEAtlas,,56.1572039989,10.2106839586,Århus,Midtjylland,DK,False,2022-09-15
197495,55.728,12.3813,RIPEAtlas,,55.6785641904,12.5634857473,København,Hovedstaden,DK,False,2022-09-15
39839,55.7281,12.3775,RIPEAtlas,,55.6785641904,12.5634857473,København,Hovedstaden,DK,False,2022-09-15
59469,55.7284,12.377,RIPEAtlas,,55.6785641904,12.5634857473,København,Hovedstaden,DK,False,2022-09-15
62113,55.7281,12.3775,RIPEAtlas,,55.6785641904,12.5634857473,København,Hovedstaden,DK,False,2022-09-15
59795,55.7281,12.3775,RIPEAtlas,,55.6785641904,12.5634857473,København,Hovedstaden,DK,False,2022-09-15
9158,55.7546,12.4945,RIPEAtlas,,55.6785641904,12.5634857473,København,Hovedstaden,DK,False,2022-09-15
3292,56.1091,10.1627,RIPEAtlas,,56.1572039989,10.2106839586,Århus,Midtjylland,DK,False,2022-09-15
39642,55.0258,8.6581,RIPEAtlas,,55.4670394075,8.45001623397,Esbjerg,Syddanmark,DK,False,2022-09-15
39642,55.5124,9.5069,RIPEAtlas,,55.7090010284,9.53499649845,Vejle,Syddanmark,DK,False,2022-09-15
